Temperature (째C),Feels Like (째C),Humidity (%),Pressure (mb),Wind Speed (km/h),UV Index,Air Quality Index (US),PM2.5,PM10,CO (Carbon Monoxide),NO2 (Nitrogen Dioxide),SO2 (Sulfur Dioxide),Tomorrow's Max Temp (째C),Tomorrow's Min Temp (째C),Sunrise,Sunset,Bomet,Bungoma,Chuka,Eldoret,Embu,Garissa,Homa Bay,Isiolo,Kajiado,Kakamega,Kendu Bay,Kericho,Kiambu,Kisii,Kisumu,Kitale,Kitui,Lamu,Lodwar,Machakos,Malindi,Mandera,Marsabit,Meru,Mombasa,Murang'a,Mwingi,Nairobi,Nakuru,Nandi Hills,Nyeri,Ruiru,Samburu,Siaya,Taita,Taveta,Thika,Trans,Voinjama Airport,Wajir
18.2,18.2,77,1023.0,9.4,4.2,2,24.42,24.975,527.25,14.8,6.475,29.4,15.4,402,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28.1,31.1,70,1011.0,13.7,4.0,2,27.01,34.595,314.5,5.735,2.96,31.0,25.0,388,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.1,20.1,49,1017.0,10.4,3.4,2,31.265,31.82,699.3,13.32,2.22,31.5,19.6,411,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,14.7,55,1017.0,3.6,4.1,2,18.5,19.055,523.55,14.615,1.665,28.8,12.1,406,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21.1,21.1,28,1015.0,18.0,3.8,1,13.69,13.875,286.75,9.805,0.925,28.2,13.5,409,1135,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.9,30.6,68,1012.0,15.5,4.4,2,27.38,35.335,299.7,2.96,0.37,29.6,24.4,387,1119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.2,18.2,77,1023.0,6.5,4.2,2,26.27,27.38,1076.7,11.655,3.33,30.5,14.4,401,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13.0,13.6,54,1015.0,3.6,3.7,2,17.76,17.945,462.5,10.545,1.11,32.5,12.8,411,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.4,26.5,69,1012.0,8.6,4.3,2,19.98,22.015,299.7,2.22,0.555,37.5,23.4,391,1119,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.1,20.1,49,1017.0,11.2,3.5,2,32.56,32.93,677.1,13.875,1.85,33.7,15.6,411,1138,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.0,22.0,30,1014.0,5.8,3.8,2,15.91,15.91,294.15,10.915,1.48,31.2,14.0,409,1136,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.3,26.6,89,1010.0,15.5,4.6,2,25.715,33.115,290.45,0.555,0.185,30.8,24.4,385,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,24.1,39,1016.0,3.6,4.3,1,14.985,15.54,486.55,8.14,1.11,28.3,15.3,399,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,11.2,77,1016.0,9.0,4.2,2,34.41,35.15,841.75,15.91,2.035,29.4,11.3,402,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23.2,25.4,89,1017.0,4.0,0.0,4,94.165,94.35,677.1,112.665,34.78,28.2,20.4,359,1123,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.6,20.6,98,1013.0,3.6,0.0,4,76.59,123.58,623.45,13.135,0.925,34.1,19.7,414,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18.2,18.2,77,1023.0,7.9,4.3,2,23.31,24.605,514.3,11.1,2.035,28.3,16.1,400,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.8,19.8,35,1015.0,7.2,3.9,2,26.27,26.64,479.15,17.02,2.405,29.4,11.7,408,1136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.0,24.0,34,1014.0,4.0,3.6,2,39.035,39.775,1004.55,20.165,3.885,29.3,15.6,411,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.9,23.9,21,1013.0,12.2,3.5,2,15.91,16.095,802.9,8.88,1.11,33.4,17.2,412,1138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.1,20.1,49,1017.0,10.1,3.3,2,35.15,36.075,464.35,12.025,2.96,32.8,18.1,413,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20.1,20.1,49,1017.0,4.0,3.6,2,39.035,39.775,1004.55,20.165,3.885,29.3,15.6,411,1138,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.1,20.1,49,1017.0,10.4,3.4,2,31.265,31.82,699.3,13.32,2.22,31.5,19.6,411,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.3,24.8,36,1010.0,15.5,3.3,1,12.025,12.58,418.1,4.07,0.37,37.8,25.8,410,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.2,25.4,39,1014.0,3.6,4.3,2,25.53,25.9,492.1,15.725,0.925,33.1,15.9,398,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26.5,27.1,49,1014.0,4.7,4.3,2,18.87,20.72,296.0,3.7,0.555,34.6,19.0,395,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.0,11.2,77,1016.0,9.0,4.2,2,34.41,35.15,841.75,15.91,2.035,29.4,11.3,402,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.5,24.1,39,1016.0,3.6,4.3,1,14.985,15.54,486.55,8.14,1.11,28.3,15.3,399,1126,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.7,25.8,40,1014.0,4.3,4.2,2,21.275,22.385,351.5,14.245,0.925,32.9,18.2,397,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18.2,18.2,77,1023.0,7.9,4.2,2,24.42,24.975,860.25,14.8,6.475,30.5,14.5,401,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18.2,18.2,77,1023.0,9.4,4.2,2,24.42,24.975,527.25,14.8,6.475,29.4,15.4,402,1131,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.1,20.1,49,1017.0,18.0,3.8,1,13.69,13.875,286.75,9.805,0.925,28.2,13.5,409,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28.1,30.5,70,1011.0,11.5,4.4,2,23.865,29.23,277.5,3.885,0.185,34.9,22.3,390,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24.3,24.7,36,1015.0,7.9,4.1,2,15.91,16.465,501.35,7.03,1.295,30.2,15.5,400,1127,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.1,20.1,49,1017.0,10.4,3.4,2,31.265,31.82,699.3,13.32,2.22,31.5,19.6,411,1138,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.0,26.6,58,1010.0,22.3,4.4,2,24.05,25.715,325.6,1.48,0.555,37.9,23.7,391,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28.9,28.9,42,1013.0,19.1,4.6,2,21.09,21.645,336.7,2.22,0.555,38.3,24.3,385,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.1,25.7,44,1014.0,26.3,4.0,1,13.32,14.06,257.15,7.03,0.37,32.1,20.2,400,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.8,25.7,27,1014.0,13.0,3.8,2,15.54,15.91,305.25,12.765,0.555,36.2,19.1,406,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.1,21.1,64,1010.0,27.7,0.3,1,7.4,10.36,144.3,1.85,0.555,20.9,9.7,411,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-9.7,-13.4,92,1024.0,6.5,0.0,1,8.14,10.175,231.25,1.85,0.185,6.9,-2.8,436,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18.2,18.2,77,1023.0,7.9,4.1,1,13.135,13.505,286.75,10.73,0.925,32.2,18.4,402,1132,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
